000568.SZ,000858.SZ,002007.SZ,002032.SZ,0388.HK,0700.HK,1093.HK,1169.HK,1177.HK,2269.HK,300015.SZ,600009.SH,600161.SH,600519.SH,600809.SH
59.7,74.52,28.2,41.18,269.2,462.6,21.65,28.25,16.2,75.05,41.17,49.99,27.97,742.0,57.54
57.26,72.13,27.92,40.56,264.0,439.4,21.5,29.0,16.12,72.9,41.17,50.79,27.61,726.08,57.94
56.95,71.37,27.9,38.3,256.8,420.0,21.0,27.95,15.38,70.9,40.09,50.78,25.82,711.06,55.94
56.63,69.99,28.62,39.0,260.2,426.6,21.8,27.75,15.62,74.0,42.16,50.03,27.52,713.49,56.77
55.75,68.47,30.0,39.26,263.4,432.2,21.95,27.65,15.92,80.6,43.2,49.32,28.49,714.74,56.0
52.81,64.74,30.02,38.07,255.2,412.2,20.8,26.75,15.52,75.0,41.87,49.25,28.5,682.05,53.2
56.69,67.5,29.45,39.09,255.2,409.6,20.85,27.95,15.4,75.45,40.01,47.65,28.4,689.1,54.82
56.75,66.36,30.07,39.09,,,,,,,41.18,48.84,28.91,683.62,54.97
57.97,66.43,29.73,43.0,,,,,,,40.35,49.3,29.24,680.06,52.9
59.63,67.12,29.99,43.31,252.8,409.4,21.35,27.55,15.8,78.2,40.28,47.99,29.24,677.91,54.31
60.71,69.9,29.94,43.32,249.0,397.6,22.05,26.9,16.02,83.1,38.9,47.86,28.98,694.01,58.12
61.34,69.75,30.7,44.7,255.4,410.0,22.35,28.3,16.88,83.3,40.98,47.25,28.58,698.3,58.19
61.56,70.38,30.4,45.17,260.8,417.2,21.95,28.7,16.76,83.0,42.38,48.24,28.19,708.02,58.0
61.16,70.31,30.7,45.41,264.6,419.6,21.5,28.35,16.7,85.1,42.37,48.1,28.32,705.36,56.64
61.89,69.2,31.18,45.37,265.4,413.2,21.7,27.7,17.0,82.1,42.8,48.06,28.74,694.2,57.27
60.41,67.98,30.8,45.1,264.2,408.0,20.75,27.4,16.42,79.1,42.27,47.29,27.77,686.86,56.41
61.37,67.97,30.57,44.88,258.8,403.0,20.85,28.0,16.34,78.6,42.15,45.86,27.39,681.38,54.86
59.77,67.0,29.94,45.09,255.4,397.2,20.15,27.6,15.42,74.0,40.68,44.55,26.56,666.2,53.9
58.44,66.33,30.17,44.4,255.8,400.0,20.3,27.15,15.68,73.3,40.8,44.37,26.84,655.64,53.4
60.68,70.37,30.4,44.66,260.4,405.8,20.6,26.0,16.1,76.2,41.95,45.09,27.03,679.96,54.1
60.49,69.63,29.98,44.24,260.2,400.2,20.25,26.45,15.72,76.5,42.6,45.41,26.08,670.26,53.77
59.35,69.69,27.75,45.6,258.8,394.0,19.62,25.95,15.58,71.7,42.95,45.27,25.83,674.01,53.47
62.67,72.43,28.14,48.53,262.0,396.6,20.35,26.7,15.92,72.4,43.38,46.27,26.48,689.88,55.56
62.79,72.34,28.99,48.04,259.0,386.8,20.8,27.2,16.78,75.45,45.55,46.96,26.9,690.97,55.83
60.13,69.1,28.88,47.21,254.0,382.2,20.35,26.85,16.6,72.8,44.4,47.0,26.19,678.23,54.3
60.23,67.98,28.58,48.71,252.4,388.4,20.35,26.7,16.8,72.4,47.0,49.79,27.04,662.53,53.19
59.51,71.22,29.6,52.2,259.2,393.4,20.1,26.6,16.18,71.55,46.47,50.88,27.89,667.83,54.19
60.45,73.8,29.2,51.33,257.2,385.0,19.92,25.75,16.54,70.4,45.8,51.0,27.67,670.88,55.44
60.62,72.9,29.93,50.7,254.4,382.8,20.3,26.25,17.12,70.0,45.98,51.17,28.01,662.87,55.88
64.3,76.0,30.06,50.8,252.0,380.0,21.5,26.75,17.58,70.5,46.2,51.58,28.03,698.17,59.55
64.51,76.04,30.26,51.05,256.2,390.6,21.4,26.55,17.86,75.25,45.5,51.9,28.08,708.83,59.65
65.45,76.25,31.02,50.37,257.0,394.6,21.4,26.5,18.66,76.15,45.11,52.99,27.87,701.95,60.99
66.05,77.98,33.08,50.14,258.2,406.2,21.25,26.5,18.38,75.8,47.76,55.01,30.04,714.19,61.67
64.9,77.06,33.31,49.51,262.0,408.8,21.1,27.25,18.44,76.9,46.05,52.59,28.89,718.02,60.28
66.98,78.32,34.97,50.44,265.6,411.8,22.0,27.1,19.16,79.2,45.97,52.9,29.26,742.41,62.27
66.5,79.38,35.19,49.52,261.2,398.0,22.95,27.25,19.36,81.65,46.45,53.47,29.28,743.06,62.68
66.9,79.17,35.4,52.19,260.2,396.2,22.8,27.3,19.08,83.3,47.44,53.86,30.3,734.52,62.44
64.94,77.07,35.28,50.21,259.0,411.0,23.35,27.0,19.1,82.4,46.81,52.35,29.64,727.38,59.7
65.95,77.59,35.24,50.46,259.4,411.0,23.75,27.05,19.04,80.0,48.5,53.99,29.45,739.32,59.5
65.87,77.18,34.9,51.05,262.4,408.0,23.8,27.15,18.28,77.85,48.68,53.14,29.8,734.82,59.41
66.86,77.65,36.99,50.98,,,,,,,50.16,52.95,30.3,739.57,59.9
64.93,76.44,36.58,50.18,259.4,407.0,23.3,27.0,18.48,79.25,49.49,52.48,29.29,723.78,58.91
64.65,74.02,36.37,49.62,260.4,407.0,23.5,26.7,18.84,80.1,33.3,52.49,29.33,715.4,58.29
66.05,74.3,36.73,48.37,260.0,404.0,25.1,26.6,19.46,82.75,33.5,52.48,29.1,716.86,59.06
68.45,77.45,36.8,49.02,260.2,405.2,26.05,26.85,20.4,84.95,34.44,52.19,30.0,740.4,61.88
67.46,76.34,34.41,48.71,257.6,402.0,24.75,27.15,19.2,83.95,31.14,53.86,28.75,731.43,59.77
67.22,76.8,34.72,50.3,252.4,395.0,24.35,27.5,19.3,87.0,30.76,52.39,28.34,725.87,60.54
69.1,78.98,36.09,51.68,253.8,399.2,24.55,28.2,19.84,87.95,33.0,53.87,28.93,751.13,64.45
67.68,78.62,35.1,53.99,253.8,404.0,24.75,28.35,19.44,90.65,32.12,52.7,27.28,745.11,62.13
69.54,81.8,35.06,55.02,257.8,415.0,25.55,28.35,13.16,95.55,31.72,54.97,27.0,781.97,65.48
69.81,82.8,36.21,55.66,258.0,420.0,26.0,28.5,13.12,95.25,32.6,54.92,27.86,788.05,67.11
69.28,82.11,36.2,55.4,258.6,425.0,25.65,29.75,13.12,95.2,32.38,57.11,27.98,785.75,66.38
68.1,80.85,35.07,54.15,263.4,429.2,24.9,29.85,12.46,95.1,30.94,56.92,27.36,780.97,65.07
68.29,80.39,35.08,54.3,260.0,415.0,24.4,29.25,12.56,95.7,31.59,57.29,27.49,777.95,64.79
68.12,82.48,34.72,52.68,261.2,419.0,24.4,28.7,12.68,91.95,31.04,55.87,26.88,775.73,63.47
70.0,86.0,35.21,56.0,260.6,417.4,25.65,29.0,13.32,93.25,30.87,59.34,27.11,799.19,66.61
69.65,85.47,33.47,55.0,257.6,415.2,24.95,28.95,12.94,88.5,30.86,59.97,26.45,790.33,66.05
67.19,84.41,32.96,54.99,255.6,412.0,24.6,29.0,12.88,86.4,30.12,59.53,26.58,786.13,64.9
67.23,83.25,32.4,53.28,255.4,410.0,24.05,28.8,12.7,87.9,29.95,59.13,26.24,773.33,64.03
65.29,79.88,32.2,53.99,247.8,396.8,23.4,27.05,12.24,84.55,29.76,58.29,25.47,738.0,59.73
66.97,82.06,32.86,52.7,248.2,400.2,23.8,27.7,12.56,84.5,32.07,56.36,25.92,763.59,62.51
65.61,80.88,32.0,53.02,244.0,396.8,23.75,27.25,12.46,86.7,32.25,57.03,25.91,759.32,62.65
66.05,80.18,32.08,52.88,242.2,397.4,23.65,27.65,12.22,89.75,32.47,56.58,20.1,766.53,61.72
66.5,82.11,32.21,52.5,239.2,388.8,23.15,27.25,11.76,86.8,33.22,58.5,20.01,765.56,62.84
64.69,81.48,32.21,52.8,236.8,386.0,23.55,26.8,12.18,86.65,32.9,56.49,19.91,754.8,63.07
62.65,76.55,31.45,52.0,230.4,377.4,22.3,26.0,11.38,85.9,31.76,55.31,19.56,722.44,61.42
59.28,73.65,30.94,49.2,232.4,379.0,22.55,25.7,11.3,83.25,31.61,54.81,18.89,710.93,60.69
60.86,76.0,32.16,51.5,236.0,393.8,23.7,26.85,12.04,87.35,32.29,55.48,19.35,731.46,62.89
59.61,74.28,31.98,50.89,,,,,,,32.3,55.32,19.14,711.55,64.72
57.47,72.38,32.62,51.38,233.2,390.8,23.15,25.55,11.74,83.0,31.29,53.12,19.13,694.92,61.31
55.77,70.7,34.6,50.14,229.6,383.0,21.25,24.35,11.14,78.7,30.16,56.6,19.23,690.91,61.9
55.16,70.82,34.09,48.98,227.4,385.6,21.4,24.0,10.94,74.5,29.78,57.38,18.57,702.39,60.64
55.34,70.62,33.45,48.52,228.8,386.6,21.9,24.2,11.24,77.65,30.27,55.89,18.29,714.12,60.19
58.15,73.54,34.97,49.9,233.0,396.0,22.9,24.75,11.84,80.75,31.77,57.04,18.68,727.24,61.33
58.83,73.37,34.78,48.9,234.0,386.8,22.2,24.35,11.94,76.05,32.0,60.18,18.95,725.76,60.77
57.42,72.08,34.58,47.06,231.8,379.4,22.3,24.15,11.78,76.45,32.15,59.95,18.74,719.58,59.71
59.46,73.9,35.0,50.14,233.4,380.0,22.7,23.85,12.12,79.9,32.99,60.05,19.34,737.54,61.07
60.49,75.75,35.01,53.3,234.2,381.0,22.85,24.3,12.2,82.45,33.64,61.73,19.83,746.99,63.93
58.72,75.42,36.64,52.8,233.8,381.4,22.65,24.75,12.28,82.35,35.66,62.53,19.84,754.68,64.55
57.47,74.04,35.81,51.75,232.0,375.8,21.8,24.65,11.92,78.45,34.83,62.28,19.79,742.43,64.47
56.18,73.31,35.35,51.09,233.4,378.0,22.3,24.9,12.22,79.1,34.91,62.76,19.85,737.44,64.31
56.19,73.38,34.56,49.98,232.4,375.6,22.25,24.7,11.82,77.75,34.0,61.22,19.47,740.95,62.49
56.37,73.43,34.77,50.72,234.2,376.6,22.3,24.65,11.66,78.4,33.76,61.83,19.64,741.13,62.37
55.23,72.12,31.32,53.15,234.0,371.0,21.45,24.35,11.38,80.15,33.25,61.83,19.2,732.07,60.47
57.46,75.03,32.42,52.34,237.2,375.2,21.0,24.45,11.06,77.95,33.2,61.42,20.08,745.4,63.28
57.03,75.0,35.66,54.2,239.0,379.8,21.65,25.15,11.26,80.25,34.26,62.69,20.29,743.81,62.39
56.16,74.19,36.29,52.76,237.4,374.8,21.55,24.15,11.52,81.25,33.98,62.46,19.93,735.62,61.56
56.2,74.19,35.45,52.1,236.8,373.0,21.35,23.9,11.4,85.45,33.7,61.7,19.69,738.56,61.57
55.15,72.6,34.48,54.44,235.2,367.2,20.8,23.6,11.06,84.55,32.8,60.4,19.08,719.21,60.56
54.93,72.15,33.52,54.1,231.6,355.2,20.5,22.9,10.72,79.8,33.42,60.27,18.93,726.44,60.97
53.41,70.02,33.0,51.92,229.2,355.0,20.95,23.4,10.84,79.1,33.16,61.69,18.83,714.94,60.05
50.9,67.92,33.75,51.7,224.2,345.0,20.5,23.0,10.78,76.7,33.12,62.08,18.15,695.84,55.08
48.68,65.67,31.8,51.25,224.0,349.8,19.66,22.2,10.32,73.7,31.94,59.68,17.85,678.99,52.68
48.34,64.34,30.17,50.15,224.0,353.0,18.98,21.9,9.64,73.05,30.24,54.95,17.49,669.68,50.89
49.24,66.48,31.55,50.19,226.8,357.0,19.7,22.15,10.08,75.0,31.23,56.01,17.77,686.28,52.87
46.95,64.44,30.55,48.68,229.0,364.0,19.94,21.55,10.26,75.4,30.01,57.58,17.22,676.22,50.0
48.79,66.36,32.25,49.8,232.2,372.6,20.2,22.25,10.46,75.75,31.53,58.21,17.73,691.88,51.63
49.07,66.05,32.45,51.42,230.2,370.0,19.86,22.25,10.36,76.7,32.35,58.8,17.85,687.18,52.32
47.9,64.41,32.94,51.38,227.6,361.0,20.0,21.75,10.78,79.0,32.73,60.23,18.14,679.22,51.5
48.62,65.1,33.28,49.91,224.2,348.6,19.26,21.55,10.2,79.15,32.5,58.08,17.91,680.13,51.62
46.62,63.33,31.83,50.1,220.4,336.0,18.64,20.15,9.52,74.1,30.82,58.03,17.55,662.8,49.71
44.45,61.15,32.0,49.04,218.8,325.8,18.5,20.6,9.36,68.45,30.71,56.58,17.57,648.44,47.84
44.11,60.61,31.0,48.01,220.0,337.0,17.62,20.55,9.0,62.5,29.26,56.67,17.26,634.86,47.09
45.1,62.03,29.4,48.34,224.4,350.8,17.82,20.6,8.86,64.65,27.94,54.59,17.25,644.79,45.75
46.88,64.33,30.9,48.6,221.4,350.6,19.58,21.0,9.5,70.5,30.15,58.55,17.66,671.49,47.99
45.96,63.69,30.84,48.37,223.8,359.4,19.22,21.25,9.32,72.5,29.59,58.41,17.52,667.7,47.3
45.86,64.15,30.87,48.02,222.4,359.0,19.88,20.95,9.78,76.45,29.97,56.79,17.64,670.21,47.23
45.25,62.96,32.8,48.14,221.4,354.0,19.92,21.3,10.1,76.3,29.88,57.06,18.18,660.3,47.25
